speaker_id,splits,official_splits,num_splits,leakage,phone_rows,utterances,gold_binary_0,gold_binary_1
3068,train,train,1,0,282,20,0,282
3075,test,test,1,0,273,20,3,270
3083,train,train,1,0,296,20,0,296
3088,dev,train,1,0,269,20,3,266
3208,train,train,1,0,301,20,0,301
3214,test,test,1,0,273,20,1,272
3412,test,test,1,0,259,20,2,257
3423,train,train,1,0,279,20,2,277
36,train,train,1,0,429,20,3,426
3631,test,test,1,0,324,20,4,320
3636,dev,train,1,0,313,20,0,313
3837,train,train,1,0,282,20,1,281
4005,dev,train,1,0,397,20,0,397
44,test,test,1,0,258,20,10,248
457,test,test,1,0,430,20,13,417
461,test,test,1,0,368,20,11,357
48,train,train,1,0,266,20,17,249
482,train,train,1,0,429,20,4,425
49,test,test,1,0,230,20,6,224
5,train,train,1,0,251,20,7,244
5015,test,test,1,0,353,20,1,352
5017,test,test,1,0,360,20,11,349
5029,test,test,1,0,368,20,4,364
5039,test,test,1,0,335,20,2,333
5072,test,test,1,0,389,20,0,389
5195,dev,train,1,0,374,20,2,372
5218,dev,train,1,0,373,20,0,373
5220,test,test,1,0,330,20,4,326
53,dev,train,1,0,286,20,12,274
54,train,train,1,0,271,20,2,269
5401,train,train,1,0,317,20,1,316
5406,test,test,1,0,367,20,4,363
5408,dev,train,1,0,392,20,0,392
5414,train,train,1,0,306,20,3,303
5418,train,train,1,0,350,20,0,350
5424,dev,train,1,0,341,20,1,340
5428,test,test,1,0,317,20,5,312
5432,test,test,1,0,402,20,27,375
5547,test,test,1,0,314,20,6,308
5551,train,train,1,0,340,20,2,338
56,train,train,1,0,252,20,6,246
560,dev,train,1,0,347,20,5,342
563,test,test,1,0,411,20,6,405
567,test,test,1,0,351,20,21,330
575,train,train,1,0,425,20,6,419
594,train,train,1,0,378,20,12,366
6,train,train,1,0,281,20,0,281
6010,dev,train,1,0,364,20,1,363
6048,train,train,1,0,354,20,1,353
6067,test,test,1,0,425,20,6,419
6099,test,test,1,0,370,20,3,367
6121,train,train,1,0,363,20,0,363
6401,train,train,1,0,331,20,5,326
6504,train,train,1,0,367,20,0,367
6902,test,test,1,0,315,20,69,246
6912,train,train,1,0,344,20,8,336
70,train,train,1,0,259,20,4,255
7001,train,train,1,0,344,20,46,298
736,test,test,1,0,386,20,18,368
739,train,train,1,0,418,20,7,411
75,train,train,1,0,268,20,6,262
7551,train,train,1,0,435,20,2,433
765,test,test,1,0,456,20,7,449
8002,train,train,1,0,332,20,60,272
8057,train,train,1,0,423,20,3,420
8063,test,test,1,0,398,20,2,396
8068,test,test,1,0,423,20,1,422
811,test,test,1,0,431,20,1,430
813,train,train,1,0,433,20,0,433
8153,test,test,1,0,416,20,5,411
8581,test,test,1,0,427,20,6,421
8584,test,test,1,0,423,20,5,418
8585,train,train,1,0,380,20,7,373
9034,dev,train,1,0,448,20,2,446
9070,train,train,1,0,456,20,0,456
9088,test,test,1,0,446,20,5,441
9101,test,test,1,0,422,20,5,417
9107,test,test,1,0,433,20,3,430
9118,test,test,1,0,459,20,3,456
92,test,test,1,0,273,20,2,271
93,test,test,1,0,258,20,2,256
94,test,test,1,0,274,20,1,273
9553,test,test,1,0,409,20,1,408
9555,test,test,1,0,398,20,1,397
9556,train,train,1,0,419,20,4,415
9558,test,test,1,0,474,20,4,470
96,test,test,1,0,215,20,3,212
960,dev,train,1,0,417,20,12,405
9600,train,train,1,0,424,20,70,354
9601,test,test,1,0,448,20,97,351
9604,train,train,1,0,430,20,176,254
9606,dev,train,1,0,366,20,88,278
9607,train,train,1,0,404,20,66,338
9608,test,test,1,0,432,20,173,259
9609,train,train,1,0,338,20,155,183
9610,test,test,1,0,363,20,16,347
9611,train,train,1,0,423,20,101,322
9612,test,test,1,0,395,20,59,336
9613,train,train,1,0,369,20,107,262
9614,train,train,1,0,386,20,42,344
9615,train,train,1,0,383,20,24,359
9616,dev,train,1,0,398,20,68,330
9617,test,test,1,0,430,20,42,388
9618,test,test,1,0,432,20,39,393
9619,dev,train,1,0,384,20,66,318
9622,test,test,1,0,385,20,60,325
9623,test,test,1,0,345,20,42,303
9624,train,train,1,0,354,20,89,265
9625,train,train,1,0,344,20,87,257
9626,test,test,1,0,338,20,77,261
9628,train,train,1,0,348,20,47,301
9629,test,test,1,0,336,20,34,302
9630,train,train,1,0,340,20,54,286
9631,test,test,1,0,376,20,53,323
9633,test,test,1,0,322,20,52,270
9634,dev,train,1,0,337,20,98,239
9635,test,test,1,0,327,20,36,291
9639,train,train,1,0,364,20,48,316
9640,test,test,1,0,426,20,94,332
9643,train,train,1,0,320,20,132,188
9645,train,train,1,0,433,20,121,312
9646,train,train,1,0,394,20,110,284
9647,test,test,1,0,369,20,151,218
9649,train,train,1,0,360,20,109,251
981,test,test,1,0,397,20,1,396
